num,dat,guy
0001,2005.01.26,Kris Wilson
0002,2005.01.27,Rob DenBleyker
0003,2005.01.28,Rob DenBleyker
0004,2005.01.29,Kris Wilson
0005,2005.01.30,Rob DenBleyker
0006,2005.01.31,Kris Wilson
0007,2005.02.01,Rob DenBleyker
0008,2005.02.02,Kris Wilson
0009,2005.02.03,Rob DenBleyker
0010,2005.02.04,Kris Wilson
0011,2005.02.07,Rob DenBleyker
0012,2005.02.08,Kris Wilson
0013,2005.02.09,Rob DenBleyker
0014,2005.02.10,Kris Wilson
0015,2005.02.11,Rob DenBleyker
0016,2005.02.12,Kris Wilson
0017,2005.02.13,Rob DenBleyker
0018,2005.02.14,Kris Wilson
0019,2005.02.15,Rob DenBleyker
0020,2005.02.16,Kris Wilson
0021,2005.02.18,Rob DenBleyker
0022,2005.02.19,Kris Wilson
0023,2005.02.20,Rob DenBleyker
0024,2005.02.21,Kris Wilson
0025,2005.02.22,Rob DenBleyker
0026,2005.02.23,Kris Wilson
0027,2005.02.24,Rob DenBleyker
0028,2005.02.25,Kris Wilson
0029,2005.02.28,Rob DenBleyker
0030,2005.03.01,Kris Wilson
0031,2005.03.02,Rob DenBleyker
0032,2005.03.04,Kris Wilson
0033,2005.03.05,Rob DenBleyker
0034,2005.03.06,Kris Wilson
0035,2005.03.08,Rob DenBleyker
0036,2005.03.09,Kris Wilson
0037,2005.03.10,Rob DenBleyker
0038,2005.03.11,Kris Wilson
0039,2005.03.12,Rob DenBleyker
0040,2005.03.13,Kris Wilson
0041,2005.03.14,Rob DenBleyker
0042,2005.03.15,Kris Wilson
0043,2005.03.16,Rob DenBleyker
0044,2005.03.18,Kris Wilson
0045,2005.03.19,Rob DenBleyker
0046,2005.03.20,Kris Wilson
0047,2005.03.22,Kris Wilson
0048,2005.03.25,Kris Wilson
0049,2005.03.26,Rob DenBleyker
0050,2005.02.05,Rob DenBleyker
0051,2005.02.06,Kris Wilson
0052,2005.02.17,Rob DenBleyker
0053,2005.03.29,Kris Wilson
0054,2005.03.31,Kris Wilson
0055,2005.04.01,Kris Wilson
0056,2005.04.03,Kris Wilson
0057,2005.02.27,Matt Melvin
0058,2005.02.26,Matt Melvin
0059,2005.03.03,Matt Melvin
0060,2005.03.07,Matt Melvin
0061,2005.04.04,Kris Wilson
0062,2005.03.17,Matt Melvin
0063,2005.04.07,Matt Melvin
0064,2005.03.21,Matt Melvin
0065,2005.03.23,Rob DenBleyker
0066,2005.03.24,Matt Melvin
0067,2005.03.27,Matt Melvin
0068,2005.03.28,Rob DenBleyker
0069,2005.03.30,Matt Melvin
0070,2005.04.02,Matt Melvin
0071,2005.04.05,Matt Melvin
0072,2005.04.06,Rob DenBleyker
0073,2005.04.10,Rob DenBleyker
0074,2005.04.11,Matt Melvin
0075,2005.04.08,Dave McElfatrick
0076,2005.04.12,Kris Wilson
0077,2005.04.15,Kris Wilson
0078,2005.04.25,Kris Wilson
0079,2005.04.09,Kris Wilson
0080,2005.04.28,Kris Wilson
0081,2005.04.14,Matt Melvin
0082,2005.04.13,Rob DenBleyker
0083,2005.04.16,Rob DenBleyker
0084,2005.04.18,NA
0085,2005.04.19,NA
0086,2005.04.20,NA
0087,2005.04.21,NA
0088,2005.04.22,NA
0089,2005.04.23,NA
0090,2005.04.24,NA
0091,2005.04.27,Matt Melvin
0092,2005.04.17,Matt Melvin
0093,2005.04.29,Rob DenBleyker
0094,2005.05.02,Rob DenBleyker
0095,2005.05.05,Rob DenBleyker
0096,2005.05.08,Rob DenBleyker
0097,2005.05.10,Rob DenBleyker
0098,2005.05.12,Rob DenBleyker
0099,2005.04.30,Matt Melvin
0100,2005.05.07,Matt Melvin
0101,2005.05.01,Kris Wilson
0102,2005.05.06,Kris Wilson
0103,2005.05.09,Matt Melvin
0104,2005.05.13,Kris Wilson
0105,2005.05.11,Matt Melvin
0106,2005.05.03,Matt Melvin
0107,2005.05.04,Matt Melvin
0108,2005.05.14,Matt Melvin
0109,2005.05.15,Kris Wilson
0110,2005.05.16,Dave McElfatrick
0111,2005.05.17,Matt Melvin
0112,2005.05.18,Rob DenBleyker
0113,2005.05.20,Rob DenBleyker
0114,2005.05.23,Rob DenBleyker
0115,2005.05.21,Matt Melvin
0116,2005.05.19,Matt Melvin
0117,2005.05.24,Dave McElfatrick
0118,2005.05.26,Rob DenBleyker
0119,2005.05.22,Kris Wilson
0120,2005.05.25,Matt Melvin
0121,2005.05.27,Matt Melvin
0122,2005.05.28,Dave McElfatrick
0123,2005.05.29,Matt Melvin
0124,2005.05.30,Matt Melvin
0125,2005.05.31,Matt Melvin
0126,2005.06.01,Matt Melvin
0127,2005.06.02,Matt Melvin
0128,2005.06.03,Matt Melvin
0129,2005.06.04,Matt Melvin
0130,2005.06.05,Rob DenBleyker
0131,2005.06.06,Kris Wilson
0132,2005.06.07,Kris Wilson
0133,2005.06.08,Kris Wilson
0134,2005.06.10,Kris Wilson
0135,2005.06.09,Matt Melvin
